OK	../airflow-sources/plugins/operators/hive_mirror_operator.py	8.403 ms
OK	../airflow-sources/plugins/operators/gh_s3_to_hive_operator.py	5.432 ms
OK	../airflow-sources/plugins/operators/staleness_prevention_operator.py	2.388 ms
OK	../airflow-sources/plugins/operators/gh_presto_to_sftp_operator.py	4.112 ms
OK	../airflow-sources/plugins/__init__.py	0.451 ms
OK	../airflow-sources/plugins/hooks/sorting_hat_hook.py	2.6 ms
OK	../airflow-sources/plugins/hooks/presto_hook.py	5.791 ms
OK	../airflow-sources/plugins/hooks/elasticsearch_hook.py	1.792 ms
OK	../airflow-sources/plugins/hooks/gh_presto_cli_hook.py	2.84 ms
OK	../airflow-sources/plugins/hooks/gh_s3_hook.py	1.981 ms
OK	../airflow-sources/plugins/hooks/gh_hdfs_hook.py	11.752 ms
OK	../airflow-sources/plugins/hooks/__init__.py	0.447 ms
OK	../airflow-sources/plugins/hooks/gh_hive_server2_hook.py	27.46 ms
OK	../airflow-sources/plugins/hooks/zendesk_hook.py	4.285 ms
OK	../airflow-sources/plugins/hooks/boto_hook.py	4.248 ms
OK	../airflow-sources/tests/conftest.py	9.617 ms
OK	../airflow-sources/tests/dags/recurring_revenue_test.py	2.464 ms
OK	../airflow-sources/tests/dags/dotcom_performance_metrics_test.py	2.049 ms
OK	../airflow-sources/tests/dags/actions_test.py	3.389 ms
OK	../airflow-sources/tests/dags/navigation_destinations_test.py	24.758 ms
OK	../airflow-sources/tests/dags/transfer_ghe_logs_test.py	1.507 ms
OK	../airflow-sources/tests/plugins/operators/staleness_prevention_operator_test.py	3.924 ms
OK	../airflow-sources/tests/plugins/operators/salesforce_to_hive_test.py	6.76 ms
OK	../airflow-sources/tests/plugins/operators/recreate_hive_table_test.py	6.067 ms
OK	../airflow-sources/tests/plugins/operators/create_partition_for_hive_table_test.py	9.447 ms
OK	../airflow-sources/tests/plugins/operators/datadog_to_hive_operator_test.py	8.976 ms
OK	../airflow-sources/tests/plugins/operators/hive_check_operator_test.py	2.129 ms
OK	../airflow-sources/tests/plugins/operators/execute_dag_run_operator_test.py	2.674 ms
OK	../airflow-sources/tests/plugins/operators/hive_subdag_test.py	4.54 ms
OK	../airflow-sources/tests/plugins/operators/amend_hive_table_test.py	5.581 ms
OK	../airflow-sources/tests/plugins/operators/__init__.py	0.404 ms
OK	../airflow-sources/tests/plugins/operators/gh_presto_sftp_operator_test.py	3.065 ms
OK	../airflow-sources/tests/plugins/operators/zendesk_to_hive_test.py	8.226 ms
OK	../airflow-sources/tests/plugins/operators/externally_triggered_dag.py	1.698 ms
OK	../airflow-sources/tests/plugins/__init__.py	0.382 ms
OK	../airflow-sources/tests/plugins/hooks/hdfs_hooks.py	3.328 ms
OK	../airflow-sources/tests/plugins/hooks/hive_hooks.py	27.259 ms
OK	../airflow-sources/tests/plugins/hooks/__init__.py	0.371 ms
OK	../airflow-sources/tests/plugins/hooks/zendesk_hook.py	5.001 ms
OK	../airflow-sources/tests/plugins/hooks/gh_presto_cli_hook_test.py	5.957 ms
OK	../airflow-sources/tests/plugins/hooks/presto_hook_test.py	4.685 ms
OK	../airflow-sources/tests/plugins/hooks/elasticsearch_hook_test.py	5.048 ms
OK	../airflow-sources/tests/__init__.py	0.41 ms
OK	../airflow-sources/tests/utils/aws_test.py	2.061 ms
OK	../airflow-sources/tests/utils/aws_test_fixtures.py	2.326 ms
OK	../airflow-sources/tests/utils/table_config_test.py	1.672 ms
OK	../airflow-sources/tests/utils/slack_test.py	2.062 ms
OK	../airflow-sources/tests/utils/hydro_config_test.py	4.02 ms
OK	../airflow-sources/tests/utils/__init__.py	0.456 ms
OK	../airflow-sources/tests/utils/composite_table_config_test.py	8.084 ms
OK	../airflow-sources/tests/utils/presto_table_name_test.py	2.35 ms
OK	../airflow-sources/tests/utils/prefix_date_name_test.py	2.799 ms
OK	../airflow-sources/tests/configs/jazz_validation_test.py	5.606 ms
OK	../airflow-sources/tests/configs/jazz_test.py	1.558 ms
OK	../airflow-sources/tests/airflow_local_settings_test.py	1.982 ms
OK	../airflow-sources/tests/linters/task_attributes_test.py	3.08 ms
OK	../airflow-sources/tests/linters/dag_loading_test.py	0.585 ms
OK	../airflow-sources/tests/linters/__init__.py	0.418 ms
OK	../airflow-sources/tests/linters/dag_attributes_test.py	3.408 ms
OK	../airflow-sources/tests/linters/plugins_naming_convention_test.py	1.378 ms
OK	../airflow-sources/tests/monitoring/context_parser_test.py	17.063 ms
OK	../airflow-sources/tests/monitoring/pubsub_test.py	0.61 ms
OK	../airflow-sources/tests/monitoring/hydro_reporter_test.py	16.468 ms
OK	../airflow-sources/tests/monitoring/__init__.py	0.481 ms
